name,price,image_url,scroll_batch,sku,short_description,detail_url,loaded_via_scroll
Orion Two-Tone Fitted Jacket,$72,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj07-red_main.jpg,2,MJ07,This is a variable product called a Orion Two-Tone Fitted Jacket,https://scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket,True
Lando Gym Jacket,$99,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj08-gray_main.jpg,2,MJ08,This is a variable product called a Lando Gym Jacket,https://scrapingcourse.com/ecommerce/product/lando-gym-jacket,True
Taurus Elements Shell,$65,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj09-yellow_main.jpg,2,MJ09,This is a variable product called a Taurus Elements Shell,https://scrapingcourse.com/ecommerce/product/taurus-elements-shell,True
Mars HeatTech&trade; Pullover,$66,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj10-red_main.jpg,2,MJ10,This is a variable product called a Mars HeatTech™ Pullover,https://scrapingcourse.com/ecommerce/product/mars-heattech&trade;-pullover,True
Typhon Performance Fleece-lined Jacket,$60,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj11-black_main.jpg,3,MJ11,This is a variable product called a Typhon Performance Fleece-lined Jacket,https://scrapingcourse.com/ecommerce/product/typhon-performance-fleece-lined-jacket,True
Proteus Fitness Jackshirt,$45,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj12-orange_main.jpg,3,MJ12,This is a variable product called a Proteus Fitness Jackshirt,https://scrapingcourse.com/ecommerce/product/proteus-fitness-jackshirt,True
Caesar Warm-Up Pant,$35,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp01-gray_main.jpg,3,MP01,This is a variable product called a Caesar Warm-Up Pant,https://scrapingcourse.com/ecommerce/product/caesar-warm-up-pant,True
Viktor LumaTech&trade; Pant,$46,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp02-gray_main.jpg,3,MP02,This is a variable product called a Viktor LumaTech™ Pant,https://scrapingcourse.com/ecommerce/product/viktor-lumatech&trade;-pant,True
Geo Insulated Jogging Pant,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp03-black_main.jpg,3,MP03,This is a variable product called a Geo Insulated Jogging Pant,https://scrapingcourse.com/ecommerce/product/geo-insulated-jogging-pant,True
Supernova Sport Pant,$45,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp04-gray_main.jpg,3,MP04,This is a variable product called a Supernova Sport Pant,https://scrapingcourse.com/ecommerce/product/supernova-sport-pant,True
Kratos Gym Pant,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp05-blue_main.jpg,3,MP05,This is a variable product called a Kratos Gym Pant,https://scrapingcourse.com/ecommerce/product/kratos-gym-pant,True
Mithra Warmup Pant,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp06-gray_main.jpg,3,MP06,This is a variable product called a Mithra Warmup Pant,https://scrapingcourse.com/ecommerce/product/mithra-warmup-pant,True
Thorpe Track Pant,$68,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp07-blue_main.jpg,3,MP07,This is a variable product called a Thorpe Track Pant,https://scrapingcourse.com/ecommerce/product/thorpe-track-pant,True
Zeppelin Yoga Pant,$82,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp08-green_main.jpg,3,MP08,This is a variable product called a Zeppelin Yoga Pant,https://scrapingcourse.com/ecommerce/product/zeppelin-yoga-pant,True
Livingston All-Purpose Tight,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp09-blue_main.jpg,4,MP09,This is a variable product called a Livingston All-Purpose Tight,https://scrapingcourse.com/ecommerce/product/livingston-all-purpose-tight,True
Orestes Yoga Pant,$66,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp10-black_main.jpg,4,MP10,This is a variable product called a Orestes Yoga Pant,https://scrapingcourse.com/ecommerce/product/orestes-yoga-pant,True
Aether Gym Pant,$74,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp11-brown_main.jpg,4,MP11,This is a variable product called a Aether Gym Pant,https://scrapingcourse.com/ecommerce/product/aether-gym-pant,True
Cronus Yoga Pant,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mp12-black_main.jpg,4,MP12,This is a variable product called a Cronus Yoga Pant,https://scrapingcourse.com/ecommerce/product/cronus-yoga-pant,True
Aero Daily Fitness Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms01-blue_main.jpg,4,MS01,This is a variable product called a Aero Daily Fitness Tee,https://scrapingcourse.com/ecommerce/product/aero-daily-fitness-tee,True
Ryker LumaTech&trade; Tee (V-neck),$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms02-gray_main.jpg,4,MS02,This is a variable product called a Ryker LumaTech™ Tee (V-neck),https://scrapingcourse.com/ecommerce/product/ryker-lumatech&trade;-tee-(v-neck),True
Balboa Persistence Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms03-black_main.jpg,4,MS03,This is a variable product called a Balboa Persistence Tee,https://scrapingcourse.com/ecommerce/product/balboa-persistence-tee,True
Gobi HeatTec&reg; Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms04-orange_main.jpg,4,MS04,This is a variable product called a Gobi HeatTec® Tee,https://scrapingcourse.com/ecommerce/product/gobi-heattec&reg;-tee,True
Helios EverCool&trade; Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms05-blue_main.jpg,4,MS05,This is a variable product called a Helios EverCool™ Tee,https://scrapingcourse.com/ecommerce/product/helios-evercool&trade;-tee,True
Zoltan Gym Tee,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms06-blue_main.jpg,4,MS06,This is a variable product called a Zoltan Gym Tee,https://scrapingcourse.com/ecommerce/product/zoltan-gym-tee,True
Deion Long-Sleeve EverCool&trade; Tee,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms07-green_main.jpg,5,MS07,This is a variable product called a Deion Long-Sleeve EverCool™ Tee,https://scrapingcourse.com/ecommerce/product/deion-long-sleeve-evercool&trade;-tee,True
Strike Endurance Tee,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms08-black_main.jpg,5,MS08,This is a variable product called a Strike Endurance Tee,https://scrapingcourse.com/ecommerce/product/strike-endurance-tee,True
Ryker LumaTech&trade; Tee (Crew-neck),$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms09-blue_main.jpg,5,MS09,This is a variable product called a Ryker LumaTech™ Tee (Crew-neck),https://scrapingcourse.com/ecommerce/product/ryker-lumatech&trade;-tee-(crew-neck),True
Logan HeatTec&reg; Tee,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms10-blue_main.jpg,5,MS10,This is a variable product called a Logan  HeatTec® Tee,https://scrapingcourse.com/ecommerce/product/logan--heattec&reg;-tee,True
Atomic Endurance Running Tee (V-neck),$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms11-green_main.jpg,5,MS11,This is a variable product called a Atomic Endurance Running Tee (V-neck),https://scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-(v-neck),True
Atomic Endurance Running Tee (Crew-Neck),$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ms12-red_main.jpg,5,MS12,This is a variable product called a Atomic Endurance Running Tee (Crew-Neck),https://scrapingcourse.com/ecommerce/product/atomic-endurance-running-tee-(crew-neck),True
Cobalt CoolTech&trade; Fitness Short,$44,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh01-blue_main.jpg,5,MSH01,This is a variable product called a Cobalt CoolTech™ Fitness Short,https://scrapingcourse.com/ecommerce/product/cobalt-cooltech&trade;-fitness-short,True
Apollo Running Short,$32.5,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh02-black_main.jpg,5,MSH02,This is a variable product called a Apollo Running Short,https://scrapingcourse.com/ecommerce/product/apollo-running-short,True
Meteor Workout Short,$32.5,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh03-blue_main.jpg,5,MSH03,This is a variable product called a Meteor Workout Short,https://scrapingcourse.com/ecommerce/product/meteor-workout-short,True
Torque Power Short,$32.5,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh04-gray_main.jpg,5,MSH04,This is a variable product called a Torque Power Short,https://scrapingcourse.com/ecommerce/product/torque-power-short,True
Hawkeye Yoga Short,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh05-gray_main.jpg,6,MSH05,This is a variable product called a Hawkeye Yoga Short,https://scrapingcourse.com/ecommerce/product/hawkeye-yoga-short,True
Lono Yoga Short,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh06-gray_main.jpg,6,MSH06,This is a variable product called a Lono Yoga Short,https://scrapingcourse.com/ecommerce/product/lono-yoga-short,True
Rapha Sports Short,$35,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh07-black_main.jpg,6,MSH07,This is a variable product called a Rapha  Sports Short,https://scrapingcourse.com/ecommerce/product/rapha--sports-short,True
Orestes Fitness Short,$35,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh08-black_main.jpg,6,MSH08,This is a variable product called a Orestes Fitness Short,https://scrapingcourse.com/ecommerce/product/orestes-fitness-short,True
Troy Yoga Short,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh09-blue_main.jpg,6,MSH09,This is a variable product called a Troy Yoga Short,https://scrapingcourse.com/ecommerce/product/troy-yoga-short,True
Sol Active Short,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh10-blue_main.jpg,6,MSH10,This is a variable product called a Sol Active Short,https://scrapingcourse.com/ecommerce/product/sol-active-short,True
Arcadio Gym Short,$20,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh11-blue_main.jpg,6,MSH11,This is a variable product called a Arcadio Gym Short,https://scrapingcourse.com/ecommerce/product/arcadio-gym-short,True
Pierce Gym Short,$27,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/msh12-red_main.jpg,6,MSH12,This is a variable product called a Pierce Gym Short,https://scrapingcourse.com/ecommerce/product/pierce-gym-short,True
Erikssen CoolTech&trade; Fitness Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt01-red_main.jpg,6,MT01,This is a variable product called a Erikssen CoolTech™ Fitness Tank,https://scrapingcourse.com/ecommerce/product/erikssen-cooltech&trade;-fitness-tank,True
Tristan Endurance Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt02-white_main.jpg,6,MT02,This is a variable product called a Tristan Endurance Tank,https://scrapingcourse.com/ecommerce/product/tristan-endurance-tank,True
Primo Endurance Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt03-red_main.jpg,7,MT03,This is a variable product called a Primo Endurance Tank,https://scrapingcourse.com/ecommerce/product/primo-endurance-tank,True
Helios Endurance Tank,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt04-blue_main.jpg,7,MT04,This is a variable product called a Helios Endurance Tank,https://scrapingcourse.com/ecommerce/product/helios-endurance-tank,True
Rocco Gym Tank,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt05-blue_main.jpg,7,MT05,This is a variable product called a Rocco Gym Tank,https://scrapingcourse.com/ecommerce/product/rocco-gym-tank,True
Vulcan Weightlifting Tank,$28,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt06-black_main.jpg,7,MT06,This is a variable product called a Vulcan Weightlifting Tank,https://scrapingcourse.com/ecommerce/product/vulcan-weightlifting-tank,True
Argus All-Weather Tank,$22,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt07-gray_main.jpg,7,MT07,This is a variable product called a Argus All-Weather Tank,https://scrapingcourse.com/ecommerce/product/argus-all-weather-tank,True
Sparta Gym Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt08-green_main.jpg,7,MT08,This is a variable product called a Sparta Gym Tank,https://scrapingcourse.com/ecommerce/product/sparta-gym-tank,True
Sinbad Fitness Tank,$29,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt09-blue_main.jpg,7,MT09,This is a variable product called a Sinbad Fitness Tank,https://scrapingcourse.com/ecommerce/product/sinbad-fitness-tank,True
Tiberius Gym Tank,$18,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt10-yellow_main.jpg,7,MT10,This is a variable product called a Tiberius Gym Tank,https://scrapingcourse.com/ecommerce/product/tiberius-gym-tank,True
Atlas Fitness Tank,$18,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt11-blue_main.jpg,7,MT11,This is a variable product called a Atlas Fitness Tank,https://scrapingcourse.com/ecommerce/product/atlas-fitness-tank,True
Cassius Sparring Tank,$18,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mt12-blue_main.jpg,7,MT12,This is a variable product called a Cassius Sparring Tank,https://scrapingcourse.com/ecommerce/product/cassius-sparring-tank,True
Electra Bra Top,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb01-gray_main.jpg,8,WB01,This is a variable product called a Electra Bra Top,https://scrapingcourse.com/ecommerce/product/electra-bra-top,True
Erica Evercool Sports Bra,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb02-blue_main.jpg,8,WB02,This is a variable product called a Erica Evercool Sports Bra,https://scrapingcourse.com/ecommerce/product/erica-evercool-sports-bra,True
Celeste Sports Bra,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb03-green_main.jpg,8,WB03,This is a variable product called a Celeste Sports Bra,https://scrapingcourse.com/ecommerce/product/celeste-sports-bra,True
Prima Compete Bra Top,$24,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb04-blue_main.jpg,8,WB04,This is a variable product called a Prima Compete Bra Top,https://scrapingcourse.com/ecommerce/product/prima-compete-bra-top,True
Lucia Cross-Fit Bra,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb05-black_main.jpg,8,WB05,This is a variable product called a Lucia Cross-Fit Bra,https://scrapingcourse.com/ecommerce/product/lucia-cross-fit-bra,True
Mona Pullover Hoodlie,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh01-green_main.jpg,8,WH01,This is a variable product called a Mona Pullover Hoodlie,https://scrapingcourse.com/ecommerce/product/mona-pullover-hoodlie,True
Hera Pullover Hoodie,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh02-blue_main.jpg,8,WH02,This is a variable product called a Hera Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/hera-pullover-hoodie,True
Autumn Pullie,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh03-red_main.jpg,8,WH03,This is a variable product called a Autumn Pullie,https://scrapingcourse.com/ecommerce/product/autumn-pullie,True
Miko Pullover Hoodie,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh04-blue_main.jpg,8,WH04,This is a variable product called a Miko Pullover Hoodie,https://scrapingcourse.com/ecommerce/product/miko-pullover-hoodie,True
Selene Yoga Hoodie,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh05-white_main.jpg,8,WH05,This is a variable product called a Selene Yoga Hoodie,https://scrapingcourse.com/ecommerce/product/selene-yoga-hoodie,True
Daphne Full-Zip Hoodie,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh06-purple_main.jpg,9,WH06,This is a variable product called a Daphne Full-Zip Hoodie,https://scrapingcourse.com/ecommerce/product/daphne-full-zip-hoodie,True
Phoebe Zipper Sweatshirt,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh07-gray_main.jpg,9,WH07,This is a variable product called a Phoebe Zipper Sweatshirt,https://scrapingcourse.com/ecommerce/product/phoebe-zipper-sweatshirt,True
Cassia Funnel Sweatshirt,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh08-white_main.jpg,9,WH08,This is a variable product called a Cassia Funnel Sweatshirt,https://scrapingcourse.com/ecommerce/product/cassia-funnel-sweatshirt,True
Ariel Roll Sleeve Sweatshirt,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh09-purple_main.jpg,9,WH09,This is a variable product called a Ariel Roll Sleeve Sweatshirt,https://scrapingcourse.com/ecommerce/product/ariel-roll-sleeve-sweatshirt,True
Helena Hooded Fleece,$55,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh10-gray_main.jpg,9,WH10,This is a variable product called a Helena Hooded Fleece,https://scrapingcourse.com/ecommerce/product/helena-hooded-fleece,True
Eos V-Neck Hoodie,$54,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh11-blue_main.jpg,9,WH11,This is a variable product called a Eos V-Neck Hoodie,https://scrapingcourse.com/ecommerce/product/eos-v-neck-hoodie,True
Circe Hooded Ice Fleece,$68,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh12-gray_main.jpg,9,WH12,This is a variable product called a Circe Hooded Ice Fleece,https://scrapingcourse.com/ecommerce/product/circe-hooded-ice-fleece,True
Stellar Solar Jacket,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj01-red_main.jpg,9,WJ01,This is a variable product called a Stellar Solar Jacket,https://scrapingcourse.com/ecommerce/product/stellar-solar-jacket,True
Josie Yoga Jacket,$56.25,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj02-gray_main.jpg,9,WJ02,This is a variable product called a Josie Yoga Jacket,https://scrapingcourse.com/ecommerce/product/josie-yoga-jacket,True
Augusta Pullover Jacket,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj03-red_main.jpg,9,WJ03,This is a variable product called a Augusta Pullover Jacket,https://scrapingcourse.com/ecommerce/product/augusta-pullover-jacket,True
Ingrid Running Jacket,$84,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj04-white_main.jpg,10,WJ04,This is a variable product called a Ingrid Running Jacket,https://scrapingcourse.com/ecommerce/product/ingrid-running-jacket,True
Riona Full Zip Jacket,$60,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj05-brown_main.jpg,10,WJ05,This is a variable product called a Riona Full Zip Jacket,https://scrapingcourse.com/ecommerce/product/riona-full-zip-jacket,True
Juno Jacket,$77,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj06-purple_main.jpg,10,,,https://scrapingcourse.com/ecommerce/product/juno-jacket,True
Inez Full Zip Jacket,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj07-purple_main.jpg,10,,,https://scrapingcourse.com/ecommerce/product/inez-full-zip-jacket,True
Adrienne Trek Jacket,$57,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj08-gray_main.jpg,10,WJ08,This is a variable product called a Adrienne Trek Jacket,https://scrapingcourse.com/ecommerce/product/adrienne-trek-jacket,True
Jade Yoga Jacket,$32,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj09-green_main.jpg,10,WJ09,This is a variable product called a Jade Yoga Jacket,https://scrapingcourse.com/ecommerce/product/jade-yoga-jacket,True
Nadia Elements Shell,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj10-yellow_main.jpg,10,WJ10,This is a variable product called a Nadia Elements Shell,https://scrapingcourse.com/ecommerce/product/nadia-elements-shell,True
Neve Studio Dance Jacket,$69,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj11-blue_main.jpg,10,WJ11,This is a variable product called a Neve Studio Dance Jacket,https://scrapingcourse.com/ecommerce/product/neve-studio-dance-jacket,True
Olivia 1/4 Zip Light Jacket,$77,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj12-blue_main.jpg,10,,,https://scrapingcourse.com/ecommerce/product/olivia-1/4-zip-light-jacket,True
Karmen Yoga Pant,$39,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp01-gray_main.jpg,10,WP01,This is a variable product called a Karmen Yoga Pant,https://scrapingcourse.com/ecommerce/product/karmen-yoga-pant,True
Emma Leggings,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp02-blue_main.jpg,11,,,https://scrapingcourse.com/ecommerce/product/emma-leggings,True
Ida Workout Parachute Pant,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp03-blue_main.jpg,11,WP03,This is a variable product called a Ida Workout Parachute Pant,https://scrapingcourse.com/ecommerce/product/ida-workout-parachute-pant,True
Cora Parachute Pant,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp04-blue_main.jpg,11,WP04,This is a variable product called a Cora Parachute Pant,https://scrapingcourse.com/ecommerce/product/cora-parachute-pant,True
Sahara Leggings,$75,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp05-gray_main.jpg,11,WP05,This is a variable product called a Sahara Leggings,https://scrapingcourse.com/ecommerce/product/sahara-leggings,True
Diana Tights,$59,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp06-black_main.jpg,11,WP06,This is a variable product called a Diana Tights,https://scrapingcourse.com/ecommerce/product/diana-tights,True
Aeon Capri,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp07-black_main.jpg,11,WP07,This is a variable product called a Aeon Capri,https://scrapingcourse.com/ecommerce/product/aeon-capri,True
Bardot Capri,$48,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp08-black_main.jpg,11,WP08,This is a variable product called a Bardot Capri,https://scrapingcourse.com/ecommerce/product/bardot-capri,True
Carina Basic Capri,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp09-black_main.jpg,11,WP09,This is a variable product called a Carina Basic Capri,https://scrapingcourse.com/ecommerce/product/carina-basic-capri,True
Daria Bikram Pant,$51,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp10-gray_main.jpg,11,WP10,This is a variable product called a Daria Bikram Pant,https://scrapingcourse.com/ecommerce/product/daria-bikram-pant,True
Sylvia Capri,$42,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp11-green_main.jpg,11,WP11,This is a variable product called a Sylvia Capri,https://scrapingcourse.com/ecommerce/product/sylvia-capri,True
Deirdre Relaxed-Fit Capri,$63,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp12-gray_main.jpg,12,WP12,This is a variable product called a Deirdre Relaxed-Fit Capri,https://scrapingcourse.com/ecommerce/product/deirdre-relaxed-fit-capri,True
Portia Capri,$49,https://scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp13-orange_main.jpg,12,WP13,This is a variable product called a Portia Capri,https://scrapingcourse.com/ecommerce/product/portia-capri,True
